transcript	CCL	CL	CT	T
atlasMiR-12655_CCGGG#4	0.229490	0.000000	0.517357	0.000000
atlasMiR-12655-5p_CCGGG#4	0.2303376	1.0054293	0.4407399	0.1571352
atlasMiR-12655-3p_CCGGG#4	0.47188938	0.32285142	0.35242649	0.07394681
atlasMiR-96264-5p_CGGGG#4	0.1766905	1.5893928	0.4443312	0.1794994
atlasMiR-96264-3p_CGGGG#4	0.2553182	0.0000000	0.2587380	0.8659102
atlasMiR-12668-5p_CGGGG#3	0.5454771	0.0000000	0.2631477	0.2808381
atlasMiR-12668-3p_CGGGG#3	0.2162765	0.0000000	0.1592410	1.2906313
atlasMiR-12669-3p_CGGGG#3	0.3032464	0.0000000	0.4049647	0.2437054
atlasMiR-96278-3p_CGG#1	 0.3681536	11.3931614	 0.0402458	 0.1285404
atlasMiR-96278-5p_CGG#1	0.28835850	0.32146444	0.45449771	0.05773214
atlasMiR-96294-5p_CCGGG#4	0.5389141	0.0000000	0.2755262	0.2415316
atlasMiR-96294-3p_CCGGG#4	0.2573004	0.0000000	0.4546656	0.1527544
atlasMiR-12698-5p_CGG#1	0.40921395	0.00000000	0.40049287	0.04636901
atlasMiR-12698-3p_CGG#1	0.5610868	0.8136246	0.3043071	0.0000000
atlasMiR-96298-3p_CGGG#4	0.4190602	0.8284359	0.2877428	0.3349194
atlasMiR-96298-5p_CGGG#4	0.3030348	0.9637988	0.3942745	0.1663268
atlasMiR-96299-3p_CGG#5	0.1744723	1.0021787	0.4316045	0.2791002
atlasMiR-96299-5p_CGG#5	0.3892269	0.0000000	0.2043050	0.7824070
atlasMiR-96300-3p_CGGGG#4	0.26026616	2.33830504	0.40729581	0.04608135
atlasMiR-96300-5p_CGGGG#4	0.4006674	0.8687319	0.3570688	0.1166784
atlasMiR-96321-5p_CGGGG#3	0.6659054	0.0000000	0.1611363	0.3937097
atlasMiR-96321-3p_CGGGG#3	0.6203869	0.3228514	0.2400368	0.1645394
atlasMiR-12741-5p_CGGGG#1	0.4035049	4.2607427	0.2732784	0.0214726
atlasMiR-12741-3p_CGGGG#1	0.81263751	0.00000000	0.18582235	0.01470207
atlasMiR-96325-3p_CGGGG#4	0.5796042	0.3214644	0.1959913	0.3971770
atlasMiR-96325-5p_CGGGG#4	0.2889989	0.3180959	0.4065470	0.2128584
atlasMiR-96331-5p_CGGGG#4	0.41407223	1.13864643	0.36052132	0.03866484
atlasMiR-96331-3p_CGGGG#4	0.3907765	0.0000000	0.4091460	0.0375317
atlasMiR-12762-5p_CCGGG#2	0.2283566	0.3228514	0.4797717	0.0664113
atlasMiR-96341-3p_CGGG#3	0.4674078	1.0021787	0.2930135	0.1849945
atlasMiR-12762-3p_CCGGG#2	0.2419012	1.0021787	0.2534904	0.7661411
atlasMiR-96341-5p_CGGG#3	0.24536919	0.32285142	0.47128707	0.05946951
atlasMiR-96345-5p_CGG#0	0.447483093	2.045118054	0.319035696	0.009333819
atlasMiR-96345-3p_CGG#0	0.3583866	2.8073073	0.3460996	0.0000000
atlasMiR-12773-5p_CGGGG#4	0.57110474	2.18855820	0.22670910	0.07962651
atlasMiR-12773-3p_CGGGG#4	0.3530290	0.6708204	0.3453679	0.2541715
atlasMiR-12775-5p_CGGGG#4	0.3652831	0.0000000	0.3886446	0.1498545
atlasMiR-12775-3p_CGGGG#4	0.4178928	0.6420325	0.3446246	0.1301782
atlasMiR-96346-5p_CGGGG#4	0.47045601	0.02601697	0.34360857	0.09969013
atlasMiR-96346-3p_CGGGG#4	0.63655494	2.96314198	0.17561669	0.04123613
atlasMiR-96347_CCGGG#4	0.16008273	0.00000000	0.51542551	0.09287715
atlasMiR-96347-3p_CCGGG#4	0.1813429	1.0855038	0.4592539	0.1259217
atlasMiR-96347-5p_CCGGG#4	0.34623429	0.31918106	0.42484916	0.01207573
atlasMiR-12777-5p_CGGGG#4	0.39706103	0.00000000	0.40383883	0.02238303
atlasMiR-12777-3p_CGGGG#4	0.81910081	0.00000000	0.15737244	0.07466996
atlasMiR-96349-5p_CCGGG#3	0.4663902	0.0000000	0.3609765	0.0378677
atlasMiR-96349-3p_CCGGG#3	0.2954261	0.0000000	0.4151761	0.1777209
atlasMiR-12787-5p_CCGGG#4	0.40952334	0.31918106	0.36851918	0.08396816
atlasMiR-12787-3p_CCGGG#4	0.2667099	0.8205505	0.4182010	0.1266511
atlasMiR-96354_CGGGG#4	0.2786587	0.6800612	0.2393570	0.7559097
atlasMiR-96354-5p_CGGGG#4	0.4233820	1.0193701	0.3555723	0.0183534
atlasMiR-96353-3p_CGGGG#4	0.3207640	0.0000000	0.4059108	0.1542298
atlasMiR-96353-5p_CGGGG#4	0.3417123	0.0000000	0.4376783	0.0000000
atlasMiR-96354-3p_CGGGG#4	0.2044152	0.0000000	0.4666150	0.1638909
atlasMiR-12789_CGGGG#3	0.42292755	0.63727696	0.36176763	0.03742901
atlasMiR-12789-5p_CGGGG#3	0.5700402	0.0000000	0.2870144	0.0842547
atlasMiR-12789-3p_CGGGG#3	0.2234465	1.3508815	0.2546126	0.7244083
atlasMiR-12792_CCGGG#4	0.189609329	0.000000000	0.517034464	0.007531875
atlasMiR-12792-5p_CCGGG#4	0.4739618	0.3214644	0.3310371	0.0783167
atlasMiR-12792-3p_CCGGG#4	0.14454404	0.00000000	0.53103716	0.04490988
atlasMiR-96360_CGGGG#3	0.2634138	1.0054293	0.3150464	0.4671666
atlasMiR-96360-3p_CGGGG#3	0.21246449	0.31918106	0.48897044	0.02301963
atlasMiR-96360-5p_CGGGG#3	0.00000000	0.00000000	0.61360899	0.02942603
atlasMiR-96362-3p_CGGG#4	0.43607468	0.81362463	0.35264705	0.01485115
atlasMiR-96362-5p_CGGG#4	0.33746944	0.00000000	0.42714717	0.03375381
atlasMiR-96363_CCGGG#3	0.47995592	0.32285142	0.32856581	0.06981862
atlasMiR-96363-5p_CCGGG#3	0.1459451	0.0000000	0.2920187	0.8888447
atlasMiR-96363-3p_CCGGG#3	0.49368904	0.31809590	0.32534553	0.05313709
atlasMiR-12803-5p_CGGGG#4	0.1953926	0.8284359	0.2292516	0.9211509
atlasMiR-12803-3p_CGGGG#4	0.53622472	1.01937007	0.26992485	0.08822744
atlasMiR-96367_CGCGG#4	0.10216211	0.00000000	0.55520272	0.03277739
atlasMiR-96367-5p_CGCGG#4	0.49946211	1.01466186	0.30984696	0.01470207
atlasMiR-96367-3p_CGCGG#4	0.1943039	0.0000000	0.2763918	0.8422238
atlasMiR-12812-5p_CGGGG#3	0.5100846	1.0054293	0.2863847	0.0742229
atlasMiR-12812-3p_CGGGG#3	0.3025308	0.0000000	0.3275033	0.4456193
atlasMiR-12823-5p_CGGG#3	0.4330329	0.0000000	0.2793469	0.3614853
atlasMiR-12823-3p_CGGG#3	0.28600428	2.00033579	0.39195156	0.02076914
atlasMiR-12839-5p_CGGGG#4	0.5151581	0.0000000	0.2985432	0.1317158
atlasMiR-12839-3p_CGGGG#4	0.3896492	0.6685815	0.3367421	0.1648355
atlasMiR-12842-5p_CGGGG#4	0.4208031	0.0000000	0.3111176	0.2694443
atlasMiR-12842-3p_CGGGG#4	0.65346726	0.68253609	0.21744530	0.07028689
atlasMiR-12848-5p_CGG#3	0.14934909	0.00000000	0.51694557	0.06495392
atlasMiR-12848-3p_CGG#3	0.08217877	0.00000000	0.35528796	0.77226299
atlasMiR-12853-5p_CGGGG#4	0.2535802	0.3191811	0.4074921	0.2150222
atlasMiR-12853-3p_CGGGG#4	0.02994907	0.00000000	0.58049633	0.07049297
atlasMiR-96418_CGGGG#4	0.50919482	0.00000000	0.32527490	0.04297231
atlasMiR-96418-5p_CGGGG#4	0.2439105	0.0000000	0.4443704	0.1363218
atlasMiR-96418-3p_CGGGG#4	0.1276004	0.0000000	0.2527709	1.0461332
atlasMiR-12864-5p_CGG#4	0.3066066	0.8136246	0.3703380	0.1826874
atlasMiR-12864-3p_CGG#4	0.5241038	0.0000000	0.2847379	0.1544828
atlasMiR-96453_CGGG#4	0.4208388	1.0193701	0.2711993	0.2885626
atlasMiR-96453-5p_CGGG#4	0.09462811	0.00000000	0.54976977	0.04821258
atlasMiR-96453-3p_CGGG#4	0.17626262	0.53823631	0.47856680	0.08102152
atlasMiR-12892-5p_CGGG#4	0.1597499	0.0000000	0.4613765	0.2333181
atlasMiR-12892-3p_CGGG#4	0.2966062	0.6800612	0.3888882	0.1416274
atlasMiR-12911-5p_CGG#5	0.53297294	0.00000000	0.29958589	0.07467282
atlasMiR-12911-3p_CGG#5	0.67326148	0.67082039	0.19885597	0.08200958
atlasMiR-96478-5p_CGGGG#3	0.72877125	0.00000000	0.20867056	0.01415648
atlasMiR-96478-3p_CGGGG#3	0.2128315	1.9760529	0.2495644	0.6534627
atlasMiR-12922-5p_CG#4	0.6199096	0.8284359	0.1877073	0.2077369
atlasMiR-12922-3p_CG#4	0.3148695	0.0000000	0.2473287	0.6836216
atlasMiR-96506-5p_CGGGG#3	0.71096631	1.13647606	0.16316514	0.07924136
atlasMiR-96505-3p_CGGGG#3	0.3352254	0.0000000	0.2617683	0.5880193
atlasMiR-96505-5p_CGGGG#3	0.35539025	0.68253609	0.37016557	0.08497987
atlasMiR-96516-5p_CGGGG#3	0.28091339	0.53823631	0.42274086	0.05914381
atlasMiR-96516-3p_CGGGG#3	0.39834062	2.88420044	0.27542711	0.08876173
atlasMiR-12960-5p_CGGGG#4	0.60902567	0.31918106	0.24461030	0.07470466
atlasMiR-12960-3p_CGGGG#4	0.66349921	0.00000000	0.23496298	0.03651913
atlasMiR-12961-5p_CGGGG#4	0.73822718	0.00000000	0.17657012	0.09522765
atlasMiR-12972-5p_CGGGG#3	0.3288401	0.5438353	0.3674268	0.1536397
atlasMiR-12972-3p_CGGGG#3	0.4771035	1.8621676	0.2834513	0.0137551
atlasMiR-12974-5p_CGGGG#3	0.9426271	0.0000000	0.0000000	0.3232501
atlasMiR-12974-3p_CGGGG#3	0.4895216	0.0000000	0.2450092	0.3354920
atlasMiR-12977-5p_CGGGG#2	0.6122681	0.4782290	0.2248649	0.1126305
atlasMiR-12977-3p_CGGGG#2	0.2311208	0.5382363	0.2808987	0.6505911
atlasMiR-96567-5p_CGGGG#4	0.4053504	1.5531863	0.2701845	0.2315810
atlasMiR-96566-3p_CGGGG#4	0.07720763	1.33940187	0.51077794	0.03819330
atlasMiR-96566-5p_CGGGG#4	0.4644472	0.5438353	0.2283685	0.3774458
atlasMiR-96567-3p_CGGGG#4	0.3609694	0.5472675	0.3539020	0.1314518
atlasMiR-13025-5p_CGGGG#1	0.57803983	0.68253609	0.25813487	0.03063096
atlasMiR-13025-3p_CGGGG#1	0.30006224	0.82055052	0.41167126	0.01021118
atlasMiR-96589_CGGGG#4	0.1451322	0.0000000	0.4708399	0.1945191
atlasMiR-96589-5p_CGGGG#4	0.7030600	1.0054293	0.1435447	0.1531710
atlasMiR-96589-3p_CGGGG#4	0.23639694	0.00000000	0.46423875	0.03497476
atlasMiR-96598-3p_CGGGG#3	0.43368153	0.00000000	0.34689538	0.06741994
atlasMiR-96598-5p_CGGGG#3	0.562920987	2.684535300	0.207519725	0.007578042
atlasMiR-96599_CGGGG#4	0.30813378	0.00000000	0.41489385	0.06870722
atlasMiR-96599-3p_CGGGG#4	0.26960864	0.00000000	0.44839807	0.02387601
atlasMiR-96599-5p_CGGGG#4	0.005520617	0.000000000	0.099683136	1.782019985
atlasMiR-96600-5p_CGG#5	0.1395670	0.0000000	0.5254193	0.0000000
atlasMiR-96600-3p_CGG#5	1.041114455	0.000000000	0.028743208	0.007412129
atlasMiR-13041-5p_CGGGG#4	0.2524594	0.0000000	0.3346902	0.4578720
atlasMiR-13041-3p_CGGGG#4	0.3467090	0.0000000	0.3820223	0.1027632
atlasMiR-96620_CGGGG#2	0.4598618	1.3587868	0.2557916	0.1768651
atlasMiR-96620-5p_CGGGG#2	0.3736900	0.0000000	0.2727821	0.4379411
atlasMiR-96620-3p_CGGGG#2	0.08816853	0.00000000	0.46360929	0.31479179
atlasMiR-96634-3p_CGGGG#2	0.4047158	0.6395603	0.2874280	0.2512379
atlasMiR-96634-5p_CGGGG#2	0.5989511	0.0000000	0.2048142	0.2377950
atlasMiR-96641-5p_CGGGG#3	0.5053325	2.0970216	0.2243614	0.1127976
atlasMiR-96641-3p_CGGGG#3	0.32146302	0.00000000	0.39932834	0.08538914
atlasMiR-13126-5p_CG#4	0.05800312	0.00000000	0.51929971	0.17122252
atlasMiR-13126-3p_CG#4	0.5592908	0.0000000	0.2516157	0.1454128
atlasMiR-13134_CGGGG#4	0.46484700	0.00000000	0.32035658	0.08409508
atlasMiR-13134-5p_CGGGG#4	0.3129647	0.0000000	0.2894420	0.4907190
atlasMiR-13134-3p_CGGGG#4	0.1079027	0.0000000	0.2773469	0.9338475
atlasMiR-96696-3p_CGG#5	0.5400011	1.0079440	0.1992354	0.2535986
atlasMiR-96696-5p_CGG#5	0.7947232	0.0000000	0.1283051	0.1208000
atlasMiR-96698_CGGGG#4	0.39244911	0.02009153	0.37237796	0.03416040
atlasMiR-96698-3p_CGGGG#4	0.2443211	0.0000000	0.3498367	0.4042034
atlasMiR-96698-5p_CGGGG#4	0.20879944	0.31809590	0.44818233	0.08607296
atlasMiR-96748_CGGGG#3	0.38171124	1.00217874	0.33738366	0.06517916
atlasMiR-96748-3p_CGGGG#3	0.2360816	0.0000000	0.4670226	0.0000000
atlasMiR-96748-5p_CGGGG#3	0.61656322	0.00000000	0.25465216	0.01277319
atlasMiR-13212-5p_CGGG#4	0.37607938	0.00000000	0.38290180	0.02435477
atlasMiR-13212-3p_CGGG#4	0.5036312	0.3191811	0.2755477	0.1210957
atlasMiR-96783-5p_CGGGG#3	0.75966980	0.00000000	0.16672812	0.04440545
atlasMiR-96863_CGGGG#2	0.4886810	0.0000000	0.2820769	0.1622534
atlasMiR-96863-3p_CGGGG#2	0.4737937	0.0000000	0.2696071	0.2354947
atlasMiR-96863-5p_CGGGG#2	0.26088601	0.31918106	0.41807503	0.08590761
atlasMiR-96864-3p_CGGG#3	0.46816057	0.00000000	0.32299385	0.05499489
atlasMiR-96864-5p_CGGG#3	0.1488144	0.0000000	0.4807289	0.1164787
atlasMiR-13285-5p_CGG#3	0.2333205	0.0000000	0.2989917	0.5988028
atlasMiR-13285-3p_CGG#3	0.1719130	1.2068178	0.1655695	1.0579183
atlasMiR-96945-3p_CGG#5	0.2829977	0.0000000	0.4247928	0.0505395
atlasMiR-96952-3p_CGGG#3	0.1319138	0.0000000	0.1927229	1.1706865
atlasMiR-96952-5p_CGGG#3	0.3537262	0.0000000	0.2859368	0.4031707
atlasMiR-13363-5p_CGGGG#4	0.0000000	0.0000000	0.4731767	0.4246207
atlasMiR-13363-3p_CGGGG#4	0.37106458	0.00000000	0.36129805	0.09273424
atlasMiR-13376-5p_CGGGG#4	0.2030459	1.6152852	0.2894887	0.4935735
atlasMiR-13376-3p_CGGGG#4	0.72489956	0.00000000	0.07880714	0.40657070
atlasMiR-96981-3p_CGGGG#3	0.6116065	0.0000000	0.2520261	0.0101849
atlasMiR-96981-5p_CGGGG#3	0.47023174	0.00000000	0.32243682	0.03048171
atlasMiR-13408_CGGGG#2	0.5713405	1.7478692	0.1674514	0.1871120
atlasMiR-13408-5p_CGGGG#2	0.69226842	0.00000000	0.09315073	0.41305585
atlasMiR-13408-3p_CGGGG#2	0.2500611	0.9013266	0.2088153	0.7629739
atlasMiR-97015-5p_CGGGG#3	0.56970723	1.00538751	0.22417723	0.06941551
atlasMiR-97017-5p_CGGGG#2	0.4420618	0.3228514	0.2462158	0.3163669
atlasMiR-13466-5p_CCGGG#4	0.3978759	1.0054293	0.2796227	0.2061896
atlasMiR-13466-3p_CCGGG#4	0.5469454	0.0000000	0.2498459	0.1332262
atlasMiR-13487-5p_CG#0	0.4508788	0.0000000	0.2814409	0.2080192
atlasMiR-13487-3p_CG#0	0.1752936	0.6825361	0.4344387	0.1194474
atlasMiR-97097_CGGGG#4	0.5033970	0.0000000	0.2730141	0.1295594
atlasMiR-97097-3p_CGGGG#4	0.29424591	0.00000000	0.41955753	0.01392095
atlasMiR-13516-5p_CGGGG#3	0.2638395	0.0000000	0.4080793	0.1126063
atlasMiR-13516-3p_CGGGG#3	0.3221630	2.0168406	0.2706538	0.2596956
atlasMiR-97121-5p_CGG#2	0.665202343	0.322851424	0.206717599	0.007439024
atlasMiR-97121-3p_CGG#2	0.42063500	0.00000000	0.34648963	0.02362582
atlasMiR-13549-5p_CGG#4	0.3416727	1.4049730	0.3082627	0.1544640
atlasMiR-13549-3p_CGG#4	0.4067944	0.0000000	0.3107229	0.1767613
atlasMiR-13617-5p_CGGGG#4	0.53004050	0.32146444	0.26670726	0.05596818
atlasMiR-13617-3p_CGGGG#4	0.3173611	0.8205505	0.3404653	0.1522409
atlasMiR-13663-5p_CGG#5	0.30107913	0.32285142	0.39564346	0.04350543
atlasMiR-13663-3p_CGG#5	0.3209133	0.3228514	0.3492459	0.1697032
atlasMiR-13804-5p_CGGG#4	0.2880165	0.5472675	0.2055252	0.7202944
atlasMiR-13804-3p_CGGG#4	0.55212257	0.31918106	0.26077441	0.03237779
atlasMiR-13841_CGGGG#3	0.6196133	0.0000000	0.2087138	0.1219957
atlasMiR-13841-5p_CGGGG#3	0.5028826	0.0000000	0.2024468	0.3718710
atlasMiR-13841-3p_CGGGG#3	0.1648825	0.0000000	0.2579845	0.8330266
atlasMiR-13850-5p_CGG#5	0.07759642	0.54726749	0.52214193	0.00000000
atlasMiR-13851_CGG#5	0.46315941	0.83830026	0.28637880	0.05331954
atlasMiR-13850-3p_CGG#5	0.2794471	0.0000000	0.2880279	0.5005325
atlasMiR-13851-5p_CGG#5	0.30028899	0.54383530	0.37369940	0.09267444
atlasMiR-13851-3p_CGG#5	0.60985896	0.32146444	0.20955201	0.09666687
atlasMiR-13861-5p_CGGGG#4	0.3128187	0.5438353	0.3495152	0.1514637
atlasMiR-13861-3p_CGGGG#4	0.40242822	0.00000000	0.35373642	0.02215007
atlasMiR-97483-5p_CGGG#3	0.38307369	0.31809590	0.35190986	0.03046128
atlasMiR-97483-3p_CGGG#3	0.1654590	0.0000000	0.4460488	0.1552568
atlasMiR-13879-5p_CGCGG#4	0.3890335	1.4803327	0.2802365	0.1419479
atlasMiR-13879-3p_CGCGG#4	0.44074485	0.00000000	0.31324807	0.08835891
atlasMiR-13880-5p_CGGGG#4	0.12903661	0.53852442	0.48335094	0.03025172
atlasMiR-13880-3p_CGGGG#4	0.4196425	0.8383003	0.2807032	0.1503015
atlasMiR-13905-5p_CGGGG#4	0.1721214	0.0000000	0.4293401	0.1987622
atlasMiR-13905-3p_CGGGG#4	0.38817168	0.00000000	0.34566610	0.07382179
atlasMiR-97535_CGGG#4	0.47687679	0.00000000	0.30987924	0.02795323
atlasMiR-97535-3p_CGGG#4	0.4464063	0.5588668	0.1624558	0.5483723
atlasMiR-97535-5p_CGGG#4	0.4203943	0.6800612	0.2511461	0.2682678
atlasMiR-97536-3p_CGGGG#3	0.6841872	0.0000000	0.1713389	0.1113702
atlasMiR-97536-5p_CGGGG#3	0.25242941	2.59155237	0.33061682	0.09347236
atlasMiR-97556-3p_CGGGG#4	0.6079701	0.0000000	0.2120624	0.1133719
atlasMiR-13986-5p_CGGG#3	0.3188280	0.3228514	0.3552170	0.1299418
atlasMiR-13986-3p_CGGG#3	0.2072238	0.6372770	0.3306744	0.3999382
atlasMiR-13994-5p_CGG#4	0.23529369	0.00000000	0.43322259	0.05105623
atlasMiR-13994-3p_CGG#4	0.1849758	1.0054293	0.3792067	0.2268392
atlasMiR-14022-5p_CGGGG#4	0.4607091	0.0000000	0.2880992	0.1258775
atlasMiR-14022-3p_CGGGG#4	0.43655430	0.00000000	0.33012072	0.02216599
atlasMiR-14042-5p_CGGGG#4	0.3140749	0.5472675	0.2418600	0.5136596
atlasMiR-14042-3p_CGGGG#4	0.3549744	1.3650722	0.2283325	0.3894737
atlasMiR-97674-3p_CGGG#4	0.55061570	0.00000000	0.26667249	0.02333234
atlasMiR-97676-3p_CGG#5	0.36741333	0.32285142	0.35769233	0.01907722
atlasMiR-97676-5p_CGG#5	0.3567883	0.0000000	0.3464680	0.1158102
atlasMiR-14084-5p_CCGGG#4	0.3175370	0.0000000	0.4004392	0.0000000
atlasMiR-14084-3p_CCGGG#4	0.23598893	0.00000000	0.43816619	0.02086351
atlasMiR-14085-5p_CGGGG#3	0.4107550	0.5438353	0.2460567	0.3016405
atlasMiR-14085-3p_CGGGG#3	0.34199264	0.00000000	0.37934753	0.02216599
atlasMiR-97688-5p_CGGGG#4	0.3309260	0.0000000	0.2740663	0.4186683
atlasMiR-97688-3p_CGGGG#4	0.3880271	0.0000000	0.3277246	0.1148295
atlasMiR-97703-3p_CGGGG#3	0.6657384	1.8529621	0.1103705	0.1364394
atlasMiR-97703-5p_CGGGG#3	0.2267698	0.0000000	0.4308963	0.0598751
atlasMiR-97709-3p_CGGG#4	0.2968977	0.8205505	0.3275454	0.1976316
atlasMiR-97709-5p_CGGG#4	0.6271761	0.0000000	0.2231253	0.0167100
atlasMiR-14126-5p_CGG#5	0.40091070	0.31809590	0.31838245	0.08281449
atlasMiR-14126-3p_CGG#5	0.53509077	0.66858148	0.25051213	0.02280318
atlasMiR-14130_CGGGG#3	0.29713683	0.00000000	0.39155141	0.06041624
atlasMiR-14130-5p_CGGGG#3	0.4226026	0.0000000	0.3055181	0.1216797
atlasMiR-14130-3p_CGGGG#3	0.6989726	0.0000000	0.1817802	0.0218231
atlasMiR-97736-5p_CGGGG#2	0.25168522	1.00217874	0.38948030	0.04184228
atlasMiR-97736-3p_CGGGG#2	0.28520761	0.81362463	0.36045552	0.09980548
atlasMiR-14141-5p_CGG#0	0.1576822	0.5438353	0.4301986	0.1306645
atlasMiR-97743-3p_CGG#0	0.1992734	0.0000000	0.2416004	0.7828390
atlasMiR-97743-5p_CGG#0	0.77757142	0.00000000	0.13218110	0.04201794
atlasMiR-14141-3p_CGG#0	0.17252848	0.00000000	0.45686409	0.06702684
atlasMiR-14142-5p_CGG#0	0.1361102	0.0000000	0.4118508	0.2901351
atlasMiR-14142-3p_CGG#0	0.4533602	1.1574813	0.2451780	0.1314263
atlasMiR-14169-5p_CGG#5	0.31319897	0.00000000	0.37525457	0.07201084
atlasMiR-14169-3p_CGG#5	0.59092579	0.00000000	0.23660114	0.02323592
atlasMiR-97773-5p_CGGGG#4	0.6029643	0.0000000	0.1561056	0.2852642
atlasMiR-97773-3p_CGGGG#4	0.2253021	0.0000000	0.4431824	0.0000000
atlasMiR-14177-5p_CGG#5	0.06374894	0.00000000	0.53175291	0.00000000
atlasMiR-14177-3p_CGG#5	0.4084864	1.5576064	0.2539783	0.1400878
atlasMiR-14183-5p_CGGGG#4	0.1814219	0.0000000	0.3937488	0.2607869
atlasMiR-14183-3p_CGGGG#4	0.49055628	0.00000000	0.28983869	0.02662852
atlasMiR-14191-5p_CGGGG#4	0.1525170	0.0000000	0.3380532	0.5150779
atlasMiR-14191-3p_CGGGG#4	0.07047016	0.00000000	0.22153574	1.09068038
atlasMiR-14199-5p_CGG#5	0.4343741	0.8687319	0.2581274	0.1495753
atlasMiR-14199-3p_CGG#5	0.45951360	0.00000000	0.30443065	0.03265873
atlasMiR-97794-5p_CCGGG#1	0.3346319	0.0000000	0.3325415	0.1759400
atlasMiR-97794-3p_CCGGG#1	0.2329700	1.2071059	0.3437233	0.1971222
atlasMiR-14215-5p_CGGG#4	0.42761926	0.00000000	0.31502716	0.05283437
atlasMiR-14215-3p_CGGG#4	0.3995922	0.0000000	0.3297689	0.0537216
atlasMiR-14216-3p_CGGG#4	0.2245701	0.0000000	0.1117712	1.1720071
atlasMiR-97825-3p_CGGGG#4	0.56338932	0.00000000	0.24410672	0.03729775
atlasMiR-14237-5p_CGG#1	0.2201135	0.6685815	0.3685055	0.1889163
atlasMiR-14237-3p_CGG#1	0.46632181	0.31918106	0.28090139	0.05931192
atlasMiR-97854-3p_CCGGG#4	0.37241146	0.00000000	0.33257303	0.09050126
atlasMiR-97854-5p_CCGGG#4	0.08412991	0.54383530	0.30494791	0.69094056
atlasMiR-14281-3p_CG#2	0.42316202	0.00000000	0.31063019	0.06910056
atlasMiR-14290_CGG#5	0.5426552	0.0000000	0.2069494	0.2045977
atlasMiR-14290-5p_CGG#5	0.58060703	0.00000000	0.21801035	0.09070691
atlasMiR-14290-3p_CGG#5	0.1864119	1.0788567	0.3780048	0.1679385
atlasMiR-97883_CGG#3	0.1940333	0.0000000	0.3999372	0.1963698
atlasMiR-97883-3p_CGG#3	0.07358129	0.00000000	0.51565929	0.01883470
atlasMiR-97883-5p_CGG#3	0.2868719	1.3831133	0.3147855	0.1590628
atlasMiR-97887-3p_CGGGG#4	0.5661953	0.0000000	0.2111648	0.1382387
atlasMiR-97887-5p_CGGGG#4	0.5712207	0.3180959	0.2065907	0.1079016
atlasMiR-14298-5p_CG#1	0.47101700	0.00000000	0.28428503	0.06068929
atlasMiR-14304-5p_CGG#3	0.2038319	0.5438353	0.1351385	1.0531317
atlasMiR-14304-3p_CGG#3	0.4114761	0.6708204	0.2929193	0.0692383
atlasMiR-97892-3p_CCGGG#4	0.03908332	0.00000000	0.53346616	0.01451330
atlasMiR-97892-5p_CCGGG#4	0.2502680	0.0000000	0.3202035	0.3617297
atlasMiR-14310-5p_CGGGG#2	0.36587233	1.00542932	0.31479155	0.04089612
atlasMiR-14310-3p_CGGGG#2	0.4284896	0.2736337	0.2246883	0.3218385
atlasMiR-97910-5p_CGGG#4	0.12379555	0.00000000	0.46370604	0.09618916
atlasMiR-97915_CGCGG#4	0.5986443	0.0000000	0.1638937	0.2367617
atlasMiR-97915-5p_CGCGG#4	0.2265018	0.3214644	0.1671577	0.9153789
atlasMiR-97915-3p_CGCGG#4	0.1686309	1.2647435	0.4128379	0.0454108
atlasMiR-14327-5p_CGGG#4	0.59510034	0.00000000	0.21918571	0.04495884
atlasMiR-14327-3p_CGGG#4	0.2788826	1.0855038	0.2940407	0.2723302
atlasMiR-97922-3p_CGGG#3	0.1719970	0.5385244	0.1762234	0.9620909
atlasMiR-97922-5p_CGGG#3	0.4289742	0.3228514	0.2330426	0.2812548
atlasMiR-14343-5p_CGGGG#4	0.46203804	0.00000000	0.27779434	0.09246598
atlasMiR-97925_CGGGG#3	0.57181887	0.31918106	0.21193791	0.07642208
atlasMiR-97925-3p_CGGGG#3	0.2713922	0.6708204	0.3462272	0.1451165
atlasMiR-14343-3p_CGGGG#4	0.47255278	0.82843590	0.25312646	0.06530868
atlasMiR-97925-5p_CGGGG#3	0.5519343	0.0000000	0.2537533	0.0000000
atlasMiR-14371-5p_CG#2	0.190501899	0.000000000	0.449817560	0.007531875
atlasMiR-14371-3p_CG#2	0.3231782	0.0000000	0.3258128	0.1896380
atlasMiR-14389-3p_CG#3	0.50670046	0.00000000	0.25540559	0.08058899
atlasMiR-14400-5p_CGGGG#4	0.3048893	0.0000000	0.1027554	1.0189581
atlasMiR-14400-3p_CGGGG#4	0.47289291	1.76556495	0.23563442	0.01706341
atlasMiR-97969-5p_CGGGG#4	0.51098776	0.00000000	0.26518707	0.03667345
atlasMiR-97969-3p_CGGGG#4	0.17823365	0.53852442	0.42343345	0.06175963
atlasMiR-14404-5p_CGG#1	0.5564534	0.6708204	0.2005547	0.1006491
atlasMiR-14404-3p_CGG#1	0.6373312	0.0000000	0.1877938	0.0601140
atlasMiR-97999-3p_CGGGG#3	0.5769338	0.0000000	0.2268646	0.0381933
atlasMiR-97999-5p_CGGGG#3	0.1728574	0.5438353	0.3972108	0.1592750
atlasMiR-98051-3p_CGG#5	0.27236587	1.00217874	0.35468762	0.06407702
atlasMiR-98051-5p_CGG#5	0.57000805	0.00000000	0.23408449	0.02534343
